system:index,shapeGroup,shapeID,shapeName,shapeType,sum,.geo,source_file
00000000000000000046,BIH,43093233B48148614096386,Ustiprača,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000082,BIH,43093233B14833660750510,Vareš,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000006c,BIH,43093233B47366254081906,Velika Kladuša,ADM3,151.55794185049393,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000007d,BIH,43093233B63640318160940,Visoko,ADM3,84.39673765687382,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000086,BIH,43093233B31414598982959,Vitez,ADM3,101.06095232075336,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000003b,BIH,43093233B25085924089879,Vlasenica,ADM3,19.04048454761505,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000005e,BIH,43093233B27153812747449,Vogošća,ADM3,358.75020544575705,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000010,BIH,43093233B60247240608533,Vukosavlje,ADM3,12.496325326900855,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000080,BIH,43093233B17981650539180,Zavidovići,ADM3,24.45527970790863,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000007f,BIH,43093233B81630913558650,Zenica,ADM3,378.8245412111282,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000034,BIH,43093233B30286487293436,Zvornik,ADM3,39.37862669954112,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000045,BIH,43093233B6446580262771,Čajniče,ADM3,9.10995602607727,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000069,BIH,43093233B24232067138496,Čapljina,ADM3,118.18242471264858,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000026,BIH,43093233B34184787679181,Čelinac,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000004e,BIH,43093233B97959138698162,Čelić,ADM3,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000006a,BIH,43093233B61801796741908,Čitluk,ADM3,123.83316731452942,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000000f,BIH,43093233B66905949038138,Šamac,ADM3,26.93479263782501,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000035,BIH,43093233B27358903985827,Šekovići,ADM3,2.504320740699768,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000001f,BIH,43093233B4185139827614,Šipovo,ADM3,46.44644117355347,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000005,BIH,43093233B82557646548063,Široki Brijeg,ADM3,133.35350966453552,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000007e,BIH,43093233B28181066770553,Žepče,ADM3,11.377225637435911,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
00000000000000000004,BIH,43093233B3183764522744,Živinice,ADM3,201.79021921578573,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2004_CSV.csv
0000000000000000001c,BIH,43093233B64626551405892,Banja Luka,ADM3,6246.68846131867,"{""type"":""MultiPoint"",""coordinates"":[]}",sumNTL_2012_CSV.csv
